LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/min),(micron/min),(micron),(min),(micron),(micron),(micron),
ID33529 → ID33800,0,33529,33800,0.27865813974993103,0.5473741957971565,0.2639404003510693,0.5278808007021386,67.0,78.8893850155046,255.47587173499656,0.0,
ID32997 → ID33013,0,32997,33013,0.01271451544577136,0.5948044807264944,0.05637933009040494,0.11275866018080988,43.0,79.6005431661876,257.48427409076504,0.0,
ID33800 → ID34163,0,33800,34163,0.0647627607595897,1.5568187579386454,0.12724264296963272,0.25448528593926545,69.0,78.88724376981784,255.33909477731635,0.0,
ID32626 → ID32634,0,32626,32634,0.030787229843994925,0.11179235805533783,0.08773145080869649,0.17546290161739297,27.0,79.65653493995056,258.8389383813005,0.0,
ID32661 → ID32626,0,32661,32626,0.03198834889927331,0.0811864317445256,0.08942643470930912,0.17885286941861825,25.0,79.7249396903618,259.00115779927364,0.0,
ID33006 → ID32997,0,33006,32997,0.01780009946604451,0.44539879823334405,0.06670850670275214,0.13341701340550427,41.0,79.59317688453189,257.58612070812615,0.0,
ID30576 → ID30771,0,30576,30771,0.13055427020956892,NaN,0.18066147224129508,0.36132294448259017,1.0,80.09561345183737,262.57503623827813,0.0,
ID32986 → ID33006,0,32986,33006,0.023628774544585434,0.10429242778777,0.07685826979672622,0.15371653959345244,39.0,79.57622311007543,257.71464132066785,0.0,
ID30916 → ID30685,0,30916,30685,0.15799071850316404,0.2617947366072063,0.19874023152293802,0.39748046304587603,9.0,80.00655350397497,261.1237912051479,0.0,
ID33010 → ID31733,0,33010,31733,2.512787365574662,0.14315113431251808,0.264196232077107,1.5851773924626422,49.0,79.22408308202489,256.6719258805469,0.0,
ID32403 → ID31850,0,32403,31850,0.011343069980764066,0.7323224816969705,0.05325192480268687,0.10650384960537373,57.0,79.01934187059396,255.8891280934667,0.0,
